device_id,stratum,host,salt,cation,peo_mass_fraction,salt_mass_fraction,quarter,electrode,speed_rpm,anneal_C,has_hyst,has_npulse,has_delaytime,n_hyst_clean,n_npulse_clean,n_delay_clean,manifest_candidate,passed_read_disturb,notes
NM_v218,A_concentration,PEO,LiTr,Li,0.6,0.18,2023-Q3,,1800,75.0,0,0,0,0,0,0,0,unknown,
NM_v219,A_concentration,PEO,LiTr,Li,0.6,0.18,2023-Q3,,2100,75.0,0,0,0,0,0,0,0,unknown,
NM_v220,A_concentration,PEO,LiTr,Li,0.6,0.18,2023-Q3,,2400,75.0,0,0,0,0,0,0,0,unknown,
NM_v221,A_concentration,PEO,LiTr,Li,0.6,0.18,2023-Q3,,2700,75.0,0,0,0,0,0,0,0,unknown,
NM_v222,A_concentration,PEO,LiTr,Li,0.6,0.18,2023-Q3,,3000,75.0,0,0,0,0,0,0,0,unknown,
NM_v245,A_concentration,PEO,LiTr,Li,0.6,0.18,2023-Q4,Ag,2100,75.0,1,1,1,3,1,1,1,unknown,
NM_v156,A_concentration,PEO,LiTr,Li,1.2,0.045,2023-Q1,Ag,3350,75.0,1,1,1,4,1,1,1,unknown,
NM_v263,A_concentration,PEO,LiTr,Li,1.2,0.045,2024-Q2,Ag,2900,75.0,1,1,1,2,1,1,1,unknown,
NM_v264,A_concentration,PEO,LiTr,Li,1.2,0.045,2024-Q2,Ag,2900,75.0,1,1,1,2,1,1,1,unknown,
NM_v144,A_concentration,PEO,LiTr,Li,1.2,0.09,2022-Q4,Ag,2000,75.0,1,0,1,3,0,1,0,unknown,
NM_v155,A_concentration,PEO,LiTr,Li,1.2,0.09,2023-Q1,Ag,3400,75.0,1,1,1,3,1,1,1,unknown,
NM_v173,A_concentration,PEO,LiTr,Li,1.2,0.09,2023-Q3,Ag,1500,75.0,1,0,0,2,0,0,0,unknown,
NM_v174,A_concentration,PEO,LiTr,Li,1.2,0.09,2023-Q3,Ag,2250,75.0,1,0,0,2,0,0,0,unknown,
NM_v175,A_concentration,PEO,LiTr,Li,1.2,0.09,2023-Q3,Ag,3000,75.0,1,0,0,2,0,0,0,unknown,
NM_v229,A_concentration,PEO,LiTr,Li,1.2,0.09,2023-Q3,,1500,75.0,0,0,0,0,0,0,0,unknown,
NM_v230,A_concentration,PEO,LiTr,Li,1.2,0.09,2023-Q3,,1800,75.0,0,0,0,0,0,0,0,unknown,
NM_v231,A_concentration,PEO,LiTr,Li,1.2,0.09,2023-Q3,,2100,75.0,0,0,0,0,0,0,0,unknown,
NM_v232,A_concentration,PEO,LiTr,Li,1.2,0.09,2023-Q3,,2400,75.0,0,0,0,0,0,0,0,unknown,
NM_v233,A_concentration,PEO,LiTr,Li,1.2,0.09,2023-Q3,,2700,75.0,0,0,0,0,0,0,0,unknown,
NM_v234,A_concentration,PEO,LiTr,Li,1.2,0.09,2023-Q3,,3000,75.0,0,0,0,0,0,0,0,unknown,
NM_v243,A_concentration,PEO,LiTr,Li,1.2,0.09,2023-Q4,Ag,2900,75.0,1,1,1,2,1,1,1,unknown,
NM_v145,A_concentration,PEO,LiTr,Li,1.2,0.18,2022-Q4,Ag,2000,75.0,1,1,1,3,1,1,1,unknown,
NM_v157,A_concentration,PEO,LiTr,Li,1.2,0.18,2023-Q1,Ag,3500,75.0,1,1,1,3,1,1,1,unknown,
NM_v211,A_concentration,PEO,LiTr,Li,1.2,0.18,2023-Q3,,1500,75.0,0,0,0,0,0,0,0,unknown,
NM_v212,A_concentration,PEO,LiTr,Li,1.2,0.18,2023-Q3,,1800,75.0,0,0,0,0,0,0,0,unknown,
NM_v213,A_concentration,PEO,LiTr,Li,1.2,0.18,2023-Q3,,2100,75.0,0,0,0,0,0,0,0,unknown,
NM_v214,A_concentration,PEO,LiTr,Li,1.2,0.18,2023-Q3,,2400,75.0,0,0,0,0,0,0,0,unknown,
NM_v215,A_concentration,PEO,LiTr,Li,1.2,0.18,2023-Q3,,2700,75.0,0,0,0,0,0,0,0,unknown,
NM_v216,A_concentration,PEO,LiTr,Li,1.2,0.18,2023-Q3,,3000,75.0,0,0,0,0,0,0,0,unknown,
NM_v246,A_concentration,PEO,LiTr,Li,1.2,0.18,2023-Q4,Ag,3000,75.0,1,1,1,2,1,1,1,unknown,
NM_v116,B_cation,PEO,KTr,K,0.3,0.09,2022-Q2,Ag,2000,75.0,0,1,1,0,1,1,0,unknown,
NM_v128,B_cation,PEO,KTr,K,0.3,0.09,2022-Q3,,2000,75.0,0,0,0,0,0,0,0,unknown,
NM_v249,B_cation,PEO,KTr,K,0.3,0.09,2023-Q4,Ag,2000,75.0,1,1,1,2,1,1,1,unknown,
NM_v092,B_cation,PEO,LiTr,Li,0.3,0.09,2022-Q1,Ag,2000,75.0,1,0,0,4,0,0,0,unknown,
NM_v093,B_cation,PEO,LiTr,Li,0.3,0.09,2022-Q1,Ag,2000,75.0,1,0,0,4,0,0,0,unknown,
NM_v094,B_cation,PEO,LiTr,Li,0.3,0.09,2022-Q1,Ag,2000,75.0,0,0,0,0,0,0,0,unknown,
NM_v095,B_cation,PEO,LiTr,Li,0.3,0.09,2022-Q1,Ag,2000,75.0,1,0,0,7,0,0,0,unknown,
NM_v100,B_cation,PEO,LiTr,Li,0.3,0.09,2022-Q1,Ag,2000,75.0,0,0,0,0,0,0,0,unknown,
NM_v101,B_cation,PEO,LiTr,Li,0.3,0.09,2022-Q1,Ag,2000,75.0,0,0,0,0,0,0,0,unknown,
NM_v102,B_cation,PEO,LiTr,Li,0.3,0.09,2022-Q1,Ag,2000,75.0,0,0,0,0,0,0,0,unknown,
NM_v103,B_cation,PEO,LiTr,Li,0.3,0.09,2022-Q1,Ag,2000,75.0,0,0,0,0,0,0,0,unknown,
NM_v114,B_cation,PEO,LiTr,Li,0.3,0.09,2022-Q2,Ag,2000,75.0,1,1,1,5,1,2,1,unknown,
NM_v126,B_cation,PEO,LiTr,Li,0.3,0.09,2022-Q3,,2000,75.0,0,0,0,0,0,0,0,unknown,
NM_v132,B_cation,PEO,LiTr,Li,0.3,0.09,2022-Q4,,2000,150.0,0,0,0,0,0,0,0,unknown,
NM_v134,B_cation,PEO,LiTr,Li,0.3,0.09,2022-Q4,,2000,,0,0,0,0,0,0,0,unknown,
NM_v135,B_cation,PEO,LiTr,Li,0.3,0.09,2022-Q4,,2000,,0,0,0,0,0,0,0,unknown,
NM_v136,B_cation,PEO,LiTr,Li,0.3,0.09,2022-Q4,,2000,75.0,0,0,0,0,0,0,0,unknown,
NM_v137,B_cation,PEO,LiTr,Li,0.3,0.09,2022-Q4,,2000,75.0,0,0,0,0,0,0,0,unknown,
NM_v138,B_cation,PEO,LiTr,Li,0.3,0.09,2022-Q4,,2000,75.0,0,0,0,0,0,0,0,unknown,
NM_v139,B_cation,PEO,LiTr,Li,0.3,0.09,2022-Q4,,2000,75.0,0,0,0,0,0,0,0,unknown,
NM_v140,B_cation,PEO,LiTr,Li,0.3,0.09,2022-Q4,Ag,2000,75.0,1,1,1,4,1,1,1,unknown,
NM_v146,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q1,Ag,2100,75.0,1,1,1,4,1,1,1,unknown,
NM_v158,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,,1500,75.0,0,0,0,0,0,0,0,unknown,
NM_v159,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,,1800,75.0,0,0,0,0,0,0,0,unknown,
NM_v160,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,,2100,75.0,0,0,0,0,0,0,0,unknown,
NM_v161,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,,2400,75.0,0,0,0,0,0,0,0,unknown,
NM_v162,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,,2700,75.0,0,0,0,0,0,0,0,unknown,
NM_v163,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,,3000,75.0,0,0,0,0,0,0,0,unknown,
NM_v164,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,Ag,1500,75.0,1,0,0,4,0,0,0,unknown,
NM_v165,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,Ag,1800,75.0,1,0,0,4,0,0,0,unknown,
NM_v166,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,Ag,2100,75.0,1,0,0,6,0,0,0,unknown,
NM_v167,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,Ag,2400,75.0,1,0,0,4,0,0,0,unknown,
NM_v168,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,Ag,2700,75.0,1,0,0,3,0,0,0,unknown,
NM_v169,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,Ag,3000,75.0,1,0,0,6,0,0,0,unknown,
NM_v176,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,,1500,75.0,0,0,0,0,0,0,0,unknown,
NM_v177,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,,1800,75.0,0,0,0,0,0,0,0,unknown,
NM_v178,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,,2100,75.0,0,0,0,0,0,0,0,unknown,
NM_v179,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,,2400,75.0,0,0,0,0,0,0,0,unknown,
NM_v180,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,,2700,75.0,0,0,0,0,0,0,0,unknown,
NM_v181,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,,3000,75.0,0,0,0,0,0,0,0,unknown,
NM_v200,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,,1500,75.0,0,0,0,0,0,0,0,unknown,
NM_v201,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,,1800,75.0,0,0,0,0,0,0,0,unknown,
NM_v202,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,,2100,75.0,0,0,0,0,0,0,0,unknown,
NM_v203,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,,2400,75.0,0,0,0,0,0,0,0,unknown,
NM_v204,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,,2700,75.0,0,0,0,0,0,0,0,unknown,
NM_v205,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q3,,3000,75.0,0,0,0,0,0,0,0,unknown,
NM_v241,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q4,Ag,1500,75.0,1,1,1,2,1,1,1,unknown,
NM_v247,B_cation,PEO,LiTr,Li,0.3,0.09,2023-Q4,Ag,2000,75.0,0,1,1,0,1,1,0,unknown,
NM_v265,B_cation,PEO,LiTr,Li,0.3,0.09,2024-Q3,Au,1500,75.0,1,1,1,4,1,1,1,unknown,
NM_v266,B_cation,PEO,LiTr,Li,0.3,0.09,2024-Q3,Au,1500,75.0,1,1,1,2,1,1,1,unknown,
NM_v267,B_cation,PEO,LiTr,Li,0.3,0.09,2024-Q3,Au,1500,75.0,1,1,0,2,1,0,0,unknown,
NM_v268,B_cation,PEO,LiTr,Li,0.3,0.09,2024-Q3,Au,2100,75.0,1,1,1,9,1,1,1,unknown,
NM_v269,B_cation,PEO,LiTr,Li,0.3,0.09,2024-Q3,Au,2100,75.0,1,1,1,2,1,1,1,unknown,
NM_v270,B_cation,PEO,LiTr,Li,0.3,0.09,2024-Q3,Au,2100,75.0,1,1,1,3,1,1,1,unknown,
NM_v271,B_cation,PEO,LiTr,Li,0.3,0.09,2024-Q4,,2100,75.0,0,0,0,0,0,0,0,unknown,
NM_v272,B_cation,PEO,LiTr,Li,0.3,0.09,2024-Q4,,2100,75.0,0,0,0,0,0,0,0,unknown,
NM_v273,B_cation,PEO,LiTr,Li,0.3,0.09,2024-Q4,,2100,75.0,0,0,0,0,0,0,0,unknown,
NM_v274,B_cation,PEO,LiTr,Li,0.3,0.09,2024-Q4,,2100,75.0,0,0,0,0,0,0,0,unknown,
NM_v275,B_cation,PEO,LiTr,Li,0.3,0.09,2024-Q4,,2100,75.0,0,0,0,0,0,0,0,unknown,
NM_v276,B_cation,PEO,LiTr,Li,0.3,0.09,2024-Q4,,2100,75.0,0,0,0,0,0,0,0,unknown,
NM_v115,B_cation,PEO,NaTr,Na,0.3,0.09,2022-Q2,Ag,2000,75.0,0,1,1,0,1,1,0,unknown,
NM_v127,B_cation,PEO,NaTr,Na,0.3,0.09,2022-Q3,,2000,75.0,0,0,0,0,0,0,0,unknown,
NM_v248,B_cation,PEO,NaTr,Na,0.3,0.09,2023-Q4,Ag,2000,75.0,1,1,1,4,1,1,1,unknown,
NM_v182,exploratory,PEO,LiTr,Li,0.37,0.055,2023-Q3,,1500,75.0,0,0,0,0,0,0,0,unknown,
NM_v183,exploratory,PEO,LiTr,Li,0.37,0.055,2023-Q3,,1800,75.0,0,0,0,0,0,0,0,unknown,
NM_v184,exploratory,PEO,LiTr,Li,0.37,0.055,2023-Q3,,2100,75.0,0,0,0,0,0,0,0,unknown,
NM_v185,exploratory,PEO,LiTr,Li,0.37,0.055,2023-Q3,,2400,75.0,0,0,0,0,0,0,0,unknown,
NM_v186,exploratory,PEO,LiTr,Li,0.37,0.055,2023-Q3,,2700,75.0,0,0,0,0,0,0,0,unknown,
NM_v187,exploratory,PEO,LiTr,Li,0.37,0.055,2023-Q3,,3000,75.0,0,0,0,0,0,0,0,unknown,
NM_v194,exploratory,PEO,LiTr,Li,0.37,0.055,2023-Q3,,1500,75.0,0,0,0,0,0,0,0,unknown,
NM_v195,exploratory,PEO,LiTr,Li,0.37,0.055,2023-Q3,,1800,75.0,0,0,0,0,0,0,0,unknown,
NM_v196,exploratory,PEO,LiTr,Li,0.37,0.055,2023-Q3,,2100,75.0,0,0,0,0,0,0,0,unknown,
NM_v197,exploratory,PEO,LiTr,Li,0.37,0.055,2023-Q3,,2400,75.0,0,0,0,0,0,0,0,unknown,
NM_v198,exploratory,PEO,LiTr,Li,0.37,0.055,2023-Q3,,2700,75.0,0,0,0,0,0,0,0,unknown,
NM_v199,exploratory,PEO,LiTr,Li,0.37,0.055,2023-Q3,,3000,75.0,0,0,0,0,0,0,0,unknown,
NM_v206,exploratory,PEO,LiTr,Li,0.37,0.055,2023-Q3,,1500,75.0,0,0,0,0,0,0,0,unknown,
NM_v207,exploratory,PEO,LiTr,Li,0.37,0.055,2023-Q3,,1900,75.0,0,0,0,0,0,0,0,unknown,
NM_v208,exploratory,PEO,LiTr,Li,0.37,0.055,2023-Q3,,2300,75.0,0,0,0,0,0,0,0,unknown,
NM_v209,exploratory,PEO,LiTr,Li,0.37,0.055,2023-Q3,,2700,75.0,0,0,0,0,0,0,0,unknown,
NM_v210,exploratory,PEO,LiTr,Li,0.37,0.055,2023-Q3,,3000,75.0,0,0,0,0,0,0,0,unknown,
NM_v188,exploratory,PEO,LiTr,Li,0.42,0.03,2023-Q3,,1500,75.0,0,0,0,0,0,0,0,unknown,
NM_v189,exploratory,PEO,LiTr,Li,0.42,0.03,2023-Q3,,1800,75.0,0,0,0,0,0,0,0,unknown,
NM_v190,exploratory,PEO,LiTr,Li,0.42,0.03,2023-Q3,,2100,75.0,0,0,0,0,0,0,0,unknown,
NM_v191,exploratory,PEO,LiTr,Li,0.42,0.03,2023-Q3,,2400,75.0,0,0,0,0,0,0,0,unknown,
NM_v192,exploratory,PEO,LiTr,Li,0.42,0.03,2023-Q3,,2700,75.0,0,0,0,0,0,0,0,unknown,
NM_v193,exploratory,PEO,LiTr,Li,0.42,0.03,2023-Q3,,3000,75.0,0,0,0,0,0,0,0,unknown,
